store_nbr,family,date,sales
1,AUTOMOTIVE,2017-08-16,154.81444411665146
1,AUTOMOTIVE,2017-08-17,156.93289670427842
1,AUTOMOTIVE,2017-08-18,163.11153678831786
1,AUTOMOTIVE,2017-08-19,247.46402290351966
1,AUTOMOTIVE,2017-08-20,200.12475455853743
1,AUTOMOTIVE,2017-08-21,159.35289145689356
1,AUTOMOTIVE,2017-08-22,146.24386727280364
1,AUTOMOTIVE,2017-08-23,156.04747000498236
1,AUTOMOTIVE,2017-08-24,157.43325231733783
1,AUTOMOTIVE,2017-08-25,154.75931014188924
1,AUTOMOTIVE,2017-08-26,235.72054500178444
1,AUTOMOTIVE,2017-08-27,194.9638481973329
1,AUTOMOTIVE,2017-08-28,153.6244626744224
1,AUTOMOTIVE,2017-08-29,141.64656513128494
1,AUTOMOTIVE,2017-08-30,177.1243779772154
1,AUTOMOTIVE,2017-08-31,183.33733547109142
1,BABY CARE,2017-08-16,149.8243950880838
1,BABY CARE,2017-08-17,149.17718532034488
1,BABY CARE,2017-08-18,155.8408472140806
1,BABY CARE,2017-08-19,239.890029535194
1,BABY CARE,2017-08-20,195.58818364258792
1,BABY CARE,2017-08-21,153.16717042924827
1,BABY CARE,2017-08-22,139.43116119949408
1,BABY CARE,2017-08-23,148.19800344784832
1,BABY CARE,2017-08-24,149.45920341958524
1,BABY CARE,2017-08-25,153.6390552940865
1,BABY CARE,2017-08-26,234.33213393127022
1,BABY CARE,2017-08-27,195.4383050996964
1,BABY CARE,2017-08-28,153.65429450002597
1,BABY CARE,2017-08-29,142.0327819408839
1,BABY CARE,2017-08-30,174.1693067823232
1,BABY CARE,2017-08-31,181.8774411072983
1,BEAUTY,2017-08-16,146.0945700607731
1,BEAUTY,2017-08-17,143.03087356107253
1,BEAUTY,2017-08-18,148.21022345856346
1,BEAUTY,2017-08-19,233.28284680288
1,BEAUTY,2017-08-20,192.17047425987982
1,BEAUTY,2017-08-21,150.00793125994488
1,BEAUTY,2017-08-22,135.9859198406374
1,BEAUTY,2017-08-23,142.07092453422615
1,BEAUTY,2017-08-24,142.78939412937603
1,BEAUTY,2017-08-25,148.20489205451662
1,BEAUTY,2017-08-26,229.76738483017238
1,BEAUTY,2017-08-27,193.58621000999116
1,BEAUTY,2017-08-28,150.66754380257004
1,BEAUTY,2017-08-29,136.31966036131675
1,BEAUTY,2017-08-30,169.91568712728267
1,BEAUTY,2017-08-31,175.37064719389483
1,BEVERAGES,2017-08-16,218.3404690813552
1,BEVERAGES,2017-08-17,214.4642081151475
1,BEVERAGES,2017-08-18,224.9427930130134
1,BEVERAGES,2017-08-19,341.2888947240908
1,BEVERAGES,2017-08-20,267.2226107313616
1,BEVERAGES,2017-08-21,216.45018552449812
1,BEVERAGES,2017-08-22,200.40946092318296
1,BEVERAGES,2017-08-23,216.8443910037868
1,BEVERAGES,2017-08-24,213.8856044566629
1,BEVERAGES,2017-08-25,227.7610017467161
1,BEVERAGES,2017-08-26,336.18364866338527
1,BEVERAGES,2017-08-27,264.7098730920129
1,BEVERAGES,2017-08-28,217.9441958832019
1,BEVERAGES,2017-08-29,197.43685503997136
1,BEVERAGES,2017-08-30,238.44989496037883
1,BEVERAGES,2017-08-31,242.91028865053372
1,BOOKS,2017-08-16,221.14171570461994
1,BOOKS,2017-08-17,218.53730231956823
1,BOOKS,2017-08-18,228.7823080097838
1,BOOKS,2017-08-19,340.97149429672146
1,BOOKS,2017-08-20,266.3403845133805
1,BOOKS,2017-08-21,217.1918437343215
1,BOOKS,2017-08-22,201.79228382803709
1,BOOKS,2017-08-23,217.02133386106325
1,BOOKS,2017-08-24,218.41560892922124
1,BOOKS,2017-08-25,226.77652098358539
1,BOOKS,2017-08-26,344.2116910083766
1,BOOKS,2017-08-27,269.43160283440557
1,BOOKS,2017-08-28,221.89574068258582
1,BOOKS,2017-08-29,201.3737560606988
1,BOOKS,2017-08-30,243.0331164680293
1,BOOKS,2017-08-31,244.92515974776833
1,BREAD/BAKERY,2017-08-16,203.69179412377306
