store_nbr,family,onpromotion,transactions,city,state,type,cluster,dcoilwtico,is_holiday,dayofweek,day,month,year,weekofyear,is_weekend,lag_1,lag_7,rolling_mean_7,rolling_std_7,rolling_mean_30,stockout
0,0,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2041.2857142857142,431.20131195135525,2091.9999999999995,
0,0,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2097.4285714285716,483.63135311338624,2118.566666666666,
0,0,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2139.4285714285716,572.4013327327997,2176.9666666666662,
0,0,,,18,12,3,12,,,5,19,8,2017,33,1,,,2160.1428571428573,561.6919169115836,2159.2999999999997,
0,0,,,18,12,3,12,,,6,20,8,2017,33,1,,,2132.285714285714,584.4178625737218,2096.4999999999995,
0,0,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2077.1428571428573,627.1842973617419,2075.7999999999997,
0,0,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2064.8571428571427,638.1944396946292,2073.933333333333,
0,0,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2037.4285714285713,648.9909750638172,2080.7999999999997,
0,0,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2012.142857142857,624.9681134723123,2119.9666666666662,
0,0,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2191.5714285714284,1059.4688696296298,2206.6999999999994,
0,0,,,18,12,3,12,,,5,26,8,2017,34,1,,,2196.714285714286,1058.3064638508881,2187.933333333333,
0,0,,,18,12,3,12,,,6,27,8,2017,34,1,,,2192.5714285714284,1060.86613311056,2110.2999999999997,
0,0,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2212.0,1047.4209596273442,2085.8666666666663,
0,0,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2236.0,1031.3111396017532,2069.066666666666,
0,0,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2260.5714285714284,1019.4493378196647,2090.666666666666,
0,0,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2397.5714285714284,1110.3208030629198,2143.7999999999997,
0,1,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2324.8571428571427,957.5199612490995,2222.2333333333327,
0,1,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2369.285714285714,947.4758949063416,2218.766666666666,
0,1,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2430.5714285714284,903.7208007533565,2150.8999999999996,
0,1,,,18,12,3,12,,,5,19,8,2017,33,1,,,2426.4285714285716,907.9786813104632,2133.5999999999995,
0,1,,,18,12,3,12,,,6,20,8,2017,33,1,,,2431.0,903.8416159187785,2132.4999999999995,
0,1,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2421.5714285714284,910.5020331558597,2143.566666666666,
0,1,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2300.8571428571427,807.145263376102,2183.433333333333,
0,1,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2312.5714285714284,835.4878529224428,2264.8666666666663,
0,1,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2325.285714285714,836.2610665507349,2270.4666666666662,
0,1,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2312.8571428571427,841.6977740597536,2238.2333333333327,
0,1,,,18,12,3,12,,,5,26,8,2017,34,1,,,2345.5714285714284,814.096607113853,2238.8666666666663,
0,1,,,18,12,3,12,,,6,27,8,2017,34,1,,,2353.1428571428573,807.7694449473054,2237.266666666666,
0,1,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2326.285714285714,830.3293953377215,2229.2999999999997,
0,1,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2359.1428571428573,845.9386164829837,2268.333333333333,
0,1,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2408.1428571428573,962.2134947732814,2350.4666666666662,
0,1,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2396.714285714286,962.7043011374641,2340.2999999999997,
0,2,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2404.714285714286,958.704458159677,2300.1333333333328,
0,2,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2351.4285714285716,1004.2813113769238,2283.4999999999995,
0,2,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2314.285714285714,1032.6964242999516,2279.7333333333327,
0,2,,,18,12,3,12,,,5,19,8,2017,33,1,,,2310.5714285714284,1035.501626772078,2283.766666666666,
0,2,,,18,12,3,12,,,6,20,8,2017,33,1,,,2261.285714285714,1016.4142387638541,2314.166666666666,
0,2,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2212.4285714285716,898.1523362145302,2391.2999999999997,
0,2,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2218.4285714285716,899.1849748787057,2388.433333333333,
0,2,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2185.1428571428573,912.1038735749758,2298.6333333333328,
0,2,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2208.4285714285716,892.7382701820386,2286.2333333333327,
0,2,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2227.5714285714284,877.1926540851513,2287.8999999999996,
0,2,,,18,12,3,12,,,5,26,8,2017,34,1,,,2202.285714285714,899.5550222722551,2281.4999999999995,
0,2,,,18,12,3,12,,,6,27,8,2017,34,1,,,2251.714285714286,924.8419169936942,2317.833333333333,
0,2,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2315.5714285714284,1073.3681967127059,2404.1333333333328,
0,2,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2302.1428571428573,1073.1763490640653,2366.166666666666,
0,2,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2317.285714285714,1065.3660895494586,2296.8666666666663,
0,2,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2348.0,1045.3283375730969,2281.266666666666,
0,3,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2327.0,1062.5767423265643,2263.7333333333327,
0,3,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2369.285714285714,1027.302895009665,2268.166666666666,
0,3,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2395.8571428571427,1042.5918710232738,2309.6333333333328,
0,3,,,18,12,3,12,,,5,19,8,2017,33,1,,,2340.0,913.6346826458231,2385.0999999999995,
0,3,,,18,12,3,12,,,6,20,8,2017,33,1,,,2336.8571428571427,913.9333361121825,2374.566666666666,
0,3,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2286.8571428571427,951.2662488443897,2290.8666666666663,
0,3,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2284.4285714285716,952.5882036401069,2271.7333333333327,
0,3,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2251.1428571428573,987.1145540701658,2249.333333333333,
0,3,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2215.5714285714284,1012.3884065487341,2237.833333333333,
0,3,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2131.4285714285716,960.8483850470984,2257.8999999999996,
0,3,,,18,12,3,12,,,5,26,8,2017,34,1,,,2094.714285714286,873.692683248465,2331.066666666666,
0,3,,,18,12,3,12,,,6,27,8,2017,34,1,,,2092.4285714285716,873.230373792783,2312.333333333333,
0,3,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2107.0,863.2699461929611,2220.5999999999995,
0,3,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2041.142857142857,904.2675541695646,2188.766666666666,
0,3,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2070.4285714285716,878.8099637469694,2171.333333333333,
0,3,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2056.1428571428573,890.3649866901814,2168.933333333333,
0,4,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2074.0,899.5467377147953,2201.833333333333,
0,4,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2058.1428571428573,863.2470539714998,2272.166666666666,
0,4,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2005.7142857142858,861.7172224277336,2252.6999999999994,
0,4,,,18,12,3,12,,,5,19,8,2017,33,1,,,2001.2857142857142,863.9746744524602,2171.333333333333,
0,4,,,18,12,3,12,,,6,20,8,2017,33,1,,,2005.7142857142858,860.2830375881541,2139.1333333333328,
0,4,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2008.4285714285713,858.4274104708072,2130.0999999999995,
0,4,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2024.5714285714287,846.0521767091451,2126.033333333333,
0,4,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,1987.4285714285713,826.0453694446502,2145.7999999999997,
0,4,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,1917.2857142857142,655.7084500207137,2205.666666666666,
0,4,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,1959.2857142857142,661.5644877323505,2184.4666666666662,
0,4,,,18,12,3,12,,,5,26,8,2017,34,1,,,2007.0,644.0716833810736,2099.333333333333,
0,4,,,18,12,3,12,,,6,27,8,2017,34,1,,,2071.0,594.3929676569176,2085.1999999999994,
0,4,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2084.8571428571427,580.1768203376798,2075.8666666666663,
0,4,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2106.8571428571427,557.3489118351335,2069.766666666666,
